RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Interval Throughput for 100 Bytes:
Length (Bytes), Total Samples,  Samples/s, Ave Samples/s,     Mbps,  Ave Mbps, Lost Samples, Lost Samples (%)
           100,        177170,      88155,         88155,     70.5,      70.5,            0,             0.00
           100,        271911,      94680,         91418,     75.7,      73.1,            0,             0.00
           100,        362730,      90807,         91214,     72.6,      73.0,            0,             0.00
           100,        451600,      88805,         90612,     71.0,      72.5,            0,             0.00
           100,        546160,      94419,         91373,     75.5,      73.1,            0,             0.00
           100,        642410,      96188,         92176,     77.0,      73.7,            0,             0.00
           100,        736440,      94013,         92438,     75.2,      74.0,            0,             0.00
           100,        830541,      94052,         92640,     75.2,      74.1,            0,             0.00
           100,        925710,      95102,         92913,     76.1,      74.3,            0,             0.00
           100,       1020057,      94325,         93055,     75.5,      74.4,            0,             0.00
           100,       1114054,      93915,         93133,     75.1,      74.5,            0,             0.00
           100,       1209070,      94978,         93287,     76.0,      74.6,            0,             0.00
           100,       1303371,      94274,         93363,     75.4,      74.7,            0,             0.00
           100,       1395730,      92305,         93287,     73.8,      74.6,            0,             0.00
           100,       1493150,      97357,         93558,     77.9,      74.8,            0,             0.00
           100,       1585162,      91985,         93460,     73.6,      74.8,            0,             0.00
           100,       1680091,      94891,         93544,     75.9,      74.8,            0,             0.00
           100,       1776830,      96715,         93720,     77.4,      75.0,            0,             0.00
           100,       1873540,      96639,         93874,     77.3,      75.1,            0,             0.00
           100,       1969040,      95403,         93950,     76.3,      75.2,            0,             0.00
           100,       2058980,      89925,         93759,     71.9,      75.0,            0,             0.00
           100,       2151120,      92099,         93683,     73.7,      74.9,            0,             0.00
           100,       2246510,      95359,         93756,     76.3,      75.0,            0,             0.00
           100,       2339941,      93401,         93741,     74.7,      75.0,            0,             0.00
           100,       2432650,      92647,         93698,     74.1,      75.0,            0,             0.00
           100,       2523690,      90975,         93593,     72.8,      74.9,            0,             0.00
           100,       2615228,      91522,         93516,     73.2,      74.8,            0,             0.00
           100,       2711520,      96281,         93615,     77.0,      74.9,            0,             0.00
           100,       2806911,      95299,         93673,     76.2,      74.9,            0,             0.00
           100,       2901089,      94133,         93688,     75.3,      75.0,            0,             0.00
           100,       2997410,      96252,         93771,     77.0,      75.0,            0,             0.00
           100,       3091869,      94411,         93791,     75.5,      75.0,            0,             0.00
           100,       3186207,      94301,         93806,     75.4,      75.0,            0,             0.00
           100,       3280062,      93830,         93807,     75.1,      75.0,            0,             0.00
           100,       3375920,      95786,         93864,     76.6,      75.1,            0,             0.00
           100,       3469980,      94018,         93868,     75.2,      75.1,            0,             0.00
           100,       3565175,      95176,         93903,     76.1,      75.1,            0,             0.00
           100,       3660681,      95495,         93945,     76.4,      75.2,            0,             0.00
           100,       3753483,      92753,         93915,     74.2,      75.1,            0,             0.00
           100,       3848940,      95390,         93952,     76.3,      75.2,            0,             0.00
           100,       3940692,      91715,         93897,     73.4,      75.1,            0,             0.00
           100,       4030565,      89863,         93801,     71.9,      75.0,            0,             0.00
           100,       4125439,      94809,         93824,     75.8,      75.1,            0,             0.00
           100,       4219720,      94167,         93832,     75.3,      75.1,            0,             0.00
           100,       4314276,      94530,         93848,     75.6,      75.1,            0,             0.00
           100,       4409120,      94732,         93867,     75.8,      75.1,            0,             0.00
           100,       4504030,      94899,         93889,     75.9,      75.1,            0,             0.00
           100,       4599440,      95367,         93920,     76.3,      75.1,            0,             0.00
           100,       4692390,      92836,         93898,     74.3,      75.1,            0,             0.00
           100,       4785830,      93418,         93888,     74.7,      75.1,            0,             0.00
           100,       4879703,      93850,         93887,     75.1,      75.1,            0,             0.00
           100,       4975640,      95908,         93926,     76.7,      75.1,            0,             0.00
           100,       5073060,      97346,         93991,     77.9,      75.2,            0,             0.00
           100,       5170103,      96988,         94046,     77.6,      75.2,            0,             0.00
           100,       5266590,      96329,         94088,     77.1,      75.3,            0,             0.00
           100,       5360858,      94237,         94090,     75.4,      75.3,            0,             0.00
           100,       5451533,      90652,         94030,     72.5,      75.2,            0,             0.00
           100,       5542880,      91302,         93983,     73.0,      75.2,            0,             0.00
           100,       5639880,      96957,         94033,     77.6,      75.2,            0,             0.00
           100,       5734357,      94419,         94040,     75.5,      75.2,            0,             0.00
           100,       5829590,      95069,         94057,     76.1,      75.2,            0,             0.00
           100,       5923702,      94054,         94057,     75.2,      75.2,            0,             0.00
           100,       6021180,      97389,         94109,     77.9,      75.3,            0,             0.00
           100,       6112709,      91509,         94069,     73.2,      75.3,            0,             0.00
           100,       6210783,      98059,         94130,     78.4,      75.3,            0,             0.00
           100,       6302440,      91643,         94093,     73.3,      75.3,            0,             0.00
           100,       6392120,      89650,         94026,     71.7,      75.2,            0,             0.00
           100,       6483270,      91097,         93983,     72.9,      75.2,            0,             0.00
           100,       6579113,      95785,         94009,     76.6,      75.2,            0,             0.00
           100,       6673397,      94252,         94013,     75.4,      75.2,            0,             0.00
           100,       6771260,      97827,         94066,     78.3,      75.3,            0,             0.00
           100,       6868765,      97429,         94113,     77.9,      75.3,            0,             0.00
           100,       6963371,      94550,         94119,     75.6,      75.3,            0,             0.00
           100,       7054500,      91068,         94078,     72.9,      75.3,            0,             0.00
           100,       7152060,      97452,         94123,     78.0,      75.3,            0,             0.00
           100,       7226660,      74593,         93866,     59.7,      75.1,            0,             0.00
           100,       7317500,      90473,         93822,     72.4,      75.1,            0,             0.00
           100,       7410370,      92839,         93809,     74.3,      75.0,            0,             0.00
           100,       7504420,      93962,         93811,     75.2,      75.0,            0,             0.00
           100,       7600350,      95782,         93836,     76.6,      75.1,            0,             0.00
           100,       7695609,      95215,         93853,     76.2,      75.1,            0,             0.00
           100,       7789162,      93538,         93849,     74.8,      75.1,            0,             0.00
           100,       7882770,      93600,         93846,     74.9,      75.1,            0,             0.00
           100,       7977742,      94905,         93859,     75.9,      75.1,            0,             0.00
           100,       8070556,      92797,         93846,     74.2,      75.1,            0,             0.00
           100,       8161080,      90475,         93807,     72.4,      75.0,            0,             0.00
           100,       8252620,      91529,         93781,     73.2,      75.0,            0,             0.00
           100,       8347602,      94972,         93794,     76.0,      75.0,            0,             0.00
           100,       8442533,      94872,         93806,     75.9,      75.0,            0,             0.00
           100,       8538040,      95426,         93824,     76.3,      75.1,            0,             0.00
           100,       8633670,      95538,         93843,     76.4,      75.1,            0,             0.00
           100,       8730210,      96509,         93872,     77.2,      75.1,            0,             0.00
           100,       8821931,      91708,         93849,     73.4,      75.1,            0,             0.00
           100,       8914430,      92396,         93833,     73.9,      75.1,            0,             0.00
           100,       9005040,      90587,         93799,     72.5,      75.0,            0,             0.00
           100,       9096471,      91323,         93774,     73.1,      75.0,            0,             0.00
           100,       9187010,      90502,         93740,     72.4,      75.0,            0,             0.00
           100,       9277490,      90419,         93706,     72.3,      75.0,            0,             0.00
           100,       9369930,      92420,         93693,     73.9,      75.0,            0,             0.00
           100,       9462590,      92621,         93682,     74.1,      74.9,            0,             0.00
           100,       9557739,      95139,         93697,     76.1,      75.0,            0,             0.00
           100,       9653100,      95327,         93713,     76.3,      75.0,            0,             0.00
           100,       9748170,      95055,         93726,     76.0,      75.0,            0,             0.00
           100,       9843143,      94847,         93736,     75.9,      75.0,            0,             0.00
           100,       9937409,      94186,         93741,     75.3,      75.0,            0,             0.00
           100,      10031806,      94387,         93747,     75.5,      75.0,            0,             0.00
           100,      10127460,      95571,         93764,     76.5,      75.0,            0,             0.00
           100,      10222297,      94750,         93773,     75.8,      75.0,            0,             0.00
           100,      10316220,      93906,         93774,     75.1,      75.0,            0,             0.00
           100,      10407460,      91220,         93751,     73.0,      75.0,            0,             0.00
           100,      10498674,      91190,         93728,     73.0,      75.0,            0,             0.00
           100,      10593266,      94561,         93735,     75.6,      75.0,            0,             0.00
           100,      10687824,      94495,         93742,     75.6,      75.0,            0,             0.00
           100,      10776231,      88312,         93694,     70.6,      75.0,            0,             0.00
           100,      10870693,      94452,         93701,     75.6,      75.0,            0,             0.00
           100,      10964910,      94147,         93705,     75.3,      75.0,            0,             0.00
           100,      11060233,      95228,         93718,     76.2,      75.0,            0,             0.00
           100,      11153616,      93368,         93715,     74.7,      75.0,            0,             0.00
           100,      11242520,      88841,         93674,     71.1,      74.9,            0,             0.00
           100,      11336110,      93506,         93673,     74.8,      74.9,            0,             0.00
           100,      11431681,      95518,         93688,     76.4,      75.0,            0,             0.00
           100,      11528000,      96307,         93709,     77.0,      75.0,            0,             0.00
           100,      11622940,      94901,         93719,     75.9,      75.0,            0,             0.00
           100,      11718050,      95080,         93730,     76.1,      75.0,            0,             0.00
           100,      11814910,      96843,         93755,     77.5,      75.0,            0,             0.00
           100,      11910820,      95895,         93772,     76.7,      75.0,            0,             0.00
           100,      12003240,      92407,         93761,     73.9,      75.0,            0,             0.00
           100,      12096510,      93201,         93757,     74.6,      75.0,            0,             0.00
           100,      12191929,      95383,         93769,     76.3,      75.0,            0,             0.00
           100,      12288022,      96016,         93787,     76.8,      75.0,            0,             0.00
           100,      12383310,      95271,         93798,     76.2,      75.0,            0,             0.00
           100,      12479450,      96096,         93815,     76.9,      75.1,            0,             0.00
           100,      12575130,      95649,         93829,     76.5,      75.1,            0,             0.00
           100,      12670960,      95719,         93843,     76.6,      75.1,            0,             0.00
           100,      12766120,      95143,         93853,     76.1,      75.1,            0,             0.00
           100,      12861779,      95642,         93866,     76.5,      75.1,            0,             0.00
           100,      12957833,      96005,         93882,     76.8,      75.1,            0,             0.00
           100,      13049340,      91487,         93864,     73.2,      75.1,            0,             0.00
           100,      13144789,      95415,         93875,     76.3,      75.1,            0,             0.00
           100,      13241050,      96142,         93892,     76.9,      75.1,            0,             0.00
           100,      13335696,      94593,         93897,     75.7,      75.1,            0,             0.00
           100,      13428290,      92557,         93887,     74.0,      75.1,            0,             0.00
           100,      13521400,      93018,         93881,     74.4,      75.1,            0,             0.00
           100,      13608582,      86921,         93833,     69.5,      75.1,            0,             0.00
           100,      13695360,      86762,         93784,     69.4,      75.0,            0,             0.00
           100,      13783400,      88031,         93745,     70.4,      75.0,            0,             0.00
           100,      13873450,      89976,         93719,     72.0,      75.0,            0,             0.00
           100,      13968940,      95469,         93731,     76.4,      75.0,            0,             0.00
           100,      14064340,      95340,         93742,     76.3,      75.0,            0,             0.00
