RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Intervals One-way Latency for 100 Bytes:
Length (Bytes), Latency (us), Ave (us), Std (us), Min (us), Max (us)
           100,         1260,      960,    300.5,      659,     1260
           100,          331,      750,    384.7,      331,     1260
           100,          730,      745,    333.3,      331,     1260
           100,          437,      683,    322.5,      331,     1260
           100,         2498,      986,    737.6,      331,     2498
           100,          366,      897,    716.5,      331,     2498
           100,          850,      891,    670.4,      331,     2498
           100,          305,      826,    658.4,      305,     2498
           100,          222,      766,    650.4,      222,     2498
           100,         6890,     1323,   1866.6,      222,     6890
           100,          523,     1256,   1800.7,      222,     6890
           100,          181,     1173,   1753.6,      181,     6890
           100,          292,     1110,   1705.0,      181,     6890
           100,         2887,     1229,   1705.8,      181,     6890
           100,          273,     1169,   1667.7,      181,     6890
           100,          883,     1152,   1619.4,      181,     6890
           100,          264,     1103,   1586.8,      181,     6890
           100,          378,     1065,   1553.0,      181,     6890
           100,          493,     1036,   1518.8,      181,     6890
           100,          261,      999,   1491.3,      181,     6890
           100,          295,      967,   1464.4,      181,     6890
           100,         5264,     1154,   1679.0,      181,     6890
           100,          272,     1117,   1653.1,      181,     6890
           100,          533,     1094,   1623.7,      181,     6890
           100,          425,     1068,   1597.4,      181,     6890
           100,        15541,     1604,   3150.8,      181,    15541
           100,         2376,     1632,   3097.4,      181,    15541
           100,          606,     1596,   3049.2,      181,    15541
           100,          316,     1554,   3006.8,      181,    15541
           100,          181,     1509,   2967.8,      181,    15541
           100,         2206,     1531,   2923.6,      181,    15541
           100,          261,     1493,   2887.2,      181,    15541
           100,         2012,     1508,   2845.7,      181,    15541
           100,          492,     1479,   2809.9,      181,    15541
           100,         4064,     1551,   2803.0,      181,    15541
           100,          358,     1519,   2771.6,      181,    15541
           100,         4455,     1596,   2775.0,      181,    15541
           100,         4754,     1677,   2784.3,      181,    15541
           100,          399,     1645,   2756.5,      181,    15541
           100,        35719,     2476,   5919.5,      181,    35719
           100,         1245,     2447,   5851.6,      181,    35719
           100,          395,     2399,   5791.4,      181,    35719
           100,          323,     2352,   5733.6,      181,    35719
           100,         5251,     2416,   5685.6,      181,    35719
           100,          190,     2368,   5632.8,      181,    35719
           100,          628,     2331,   5578.3,      181,    35719
           100,          411,     2291,   5526.6,      181,    35719
           100,          354,     2251,   5476.8,      181,    35719
           100,          369,     2214,   5428.2,      181,    35719
           100,        18389,     2531,   5823.8,      181,    35719
           100,          257,     2487,   5776.0,      181,    35719
           100,          368,     2447,   5728.5,      181,    35719
           100,          808,     2417,   5679.5,      181,    35719
           100,         8076,     2520,   5678.2,      181,    35719
           100,          283,     2480,   5635.1,      181,    35719
           100,          598,     2447,   5590.9,      181,    35719
           100,          284,     2409,   5549.6,      181,    35719
           100,          174,     2371,   5510.0,      174,    35719
           100,         5602,     2425,   5479.5,      174,    35719
           100,         2423,     2425,   5434.4,      174,    35719
           100,          763,     2398,   5394.4,      174,    35719
           100,          230,     2364,   5358.3,      174,    35719
           100,        11115,     2501,   5425.9,      174,    35719
           100,         5560,     2548,   5397.2,      174,    35719
           100,         2327,     2544,   5356.2,      174,    35719
           100,          935,     2520,   5319.7,      174,    35719
           100,          672,     2493,   5285.1,      174,    35719
           100,          691,     2467,   5251.1,      174,    35719
           100,          268,     2436,   5220.0,      174,    35719
           100,         7390,     2506,   5215.8,      174,    35719
           100,         2594,     2507,   5179.5,      174,    35719
           100,          478,     2479,   5149.3,      174,    35719
           100,          346,     2450,   5120.3,      174,    35719
           100,          770,     2428,   5089.7,      174,    35719
           100,          281,     2399,   5062.0,      174,    35719
           100,          621,     2376,   5033.1,      174,    35719
           100,          438,     2352,   5005.5,      174,    35719
           100,          431,     2327,   4978.3,      174,    35719
           100,         2544,     2330,   4947.2,      174,    35719
           100,          440,     2307,   4921.0,      174,    35719
           100,          535,     2285,   4894.7,      174,    35719
           100,          644,     2265,   4868.5,      174,    35719
           100,          398,     2243,   4843.6,      174,    35719
           100,          528,     2223,   4818.6,      174,    35719
           100,          684,     2205,   4793.3,      174,    35719
           100,          459,     2185,   4769.3,      174,    35719
           100,          190,     2162,   4746.9,      174,    35719
           100,         1719,     2157,   4720.4,      174,    35719
           100,          272,     2136,   4698.2,      174,    35719
           100,          268,     2116,   4676.4,      174,    35719
           100,          547,     2099,   4653.8,      174,    35719
           100,         8796,     2171,   4679.9,      174,    35719
           100,          423,     2152,   4658.4,      174,    35719
           100,          714,     2137,   4636.2,      174,    35719
           100,          387,     2119,   4615.4,      174,    35719
           100,          488,     2102,   4594.5,      174,    35719
           100,          898,     2090,   4572.6,      174,    35719
           100,         1002,     2079,   4550.7,      174,    35719
           100,          491,     2063,   4530.7,      174,    35719
           100,          631,     2049,   4510.4,      174,    35719
           100,          338,     2032,   4491.4,      174,    35719
           100,          278,     2015,   4472.9,      174,    35719
           100,          361,     1999,   4454.2,      174,    35719
           100,          549,     1985,   4435.2,      174,    35719
           100,          372,     1970,   4417.0,      174,    35719
           100,          594,     1957,   4398.3,      174,    35719
           100,          806,     1946,   4379.3,      174,    35719
           100,          452,     1933,   4361.5,      174,    35719
           100,          255,     1917,   4344.5,      174,    35719
           100,          308,     1903,   4327.6,      174,    35719
           100,          367,     1889,   4310.6,      174,    35719
           100,          446,     1876,   4293.6,      174,    35719
           100,          486,     1864,   4276.7,      174,    35719
           100,          383,     1851,   4260.3,      174,    35719
           100,         1187,     1846,   4242.4,      174,    35719
           100,          975,     1838,   4225.0,      174,    35719
           100,          548,     1827,   4208.7,      174,    35719
           100,          594,     1817,   4192.5,      174,    35719
           100,          871,     1809,   4175.8,      174,    35719
           100,          210,     1796,   4161.1,      174,    35719
           100,          242,     1783,   4146.3,      174,    35719
           100,          334,     1771,   4131.5,      174,    35719
           100,          383,     1760,   4116.7,      174,    35719
           100,          591,     1751,   4101.5,      174,    35719
           100,          342,     1740,   4087.1,      174,    35719
           100,          300,     1728,   4073.0,      174,    35719
           100,          453,     1718,   4058.6,      174,    35719
           100,          559,     1709,   4044.1,      174,    35719
           100,          572,     1700,   4029.8,      174,    35719
           100,         1336,     1698,   4014.5,      174,    35719
           100,          488,     1689,   4000.6,      174,    35719
           100,          406,     1679,   3987.1,      174,    35719
           100,          259,     1668,   3974.1,      174,    35719
           100,          502,     1660,   3960.6,      174,    35719
           100,          352,     1650,   3947.6,      174,    35719
           100,          337,     1640,   3934.7,      174,    35719
           100,          517,     1632,   3921.6,      174,    35719
           100,          291,     1623,   3909.1,      174,    35719
           100,          453,     1614,   3896.4,      174,    35719
           100,          549,     1607,   3883.6,      174,    35719
           100,          259,     1597,   3871.5,      174,    35719
           100,          511,     1590,   3859.0,      174,    35719
           100,          436,     1582,   3846.8,      174,    35719
           100,          230,     1572,   3835.1,      174,    35719
           100,         1760,     1574,   3822.0,      174,    35719
           100,          381,     1566,   3810.2,      174,    35719
           100,          356,     1557,   3798.6,      174,    35719
           100,          646,     1551,   3786.6,      174,    35719
           100,          291,     1543,   3775.3,      174,    35719
