RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Interval Throughput for 100 Bytes:
Length (Bytes), Total Samples,  Samples/s, Ave Samples/s,     Mbps,  Ave Mbps, Lost Samples, Lost Samples (%)
           100,       1141614,     678663,        678663,    542.9,     542.9,            0,             0.00
           100,       1872153,     728337,        703500,    582.7,     562.8,            0,             0.00
           100,       2670003,     795953,        734318,    636.8,     587.5,            0,             0.00
           100,       3528198,     858051,        765251,    686.4,     612.2,            0,             0.00
           100,       4216860,     688554,        749912,    550.8,     599.9,            0,             0.00
           100,       5167800,     950204,        783294,    760.2,     626.6,            0,             0.00
           100,       6216426,    1047822,        821083,    838.3,     656.9,            0,             0.00
           100,       7168176,     950598,        837273,    760.5,     669.8,            0,             0.00
           100,       7962300,     793150,        832370,    634.5,     665.9,            0,             0.00
           100,       8790282,     826209,        831754,    661.0,     665.4,            0,             0.00
           100,       9488016,     697197,        819522,    557.8,     655.6,            0,             0.00
           100,      10168416,     673404,        807345,    538.7,     645.9,            0,             0.00
           100,      11053584,     880583,        812979,    704.5,     650.4,            0,             0.00
           100,      11734308,     680319,        803503,    544.3,     642.8,            0,             0.00
           100,      12480966,     745717,        799651,    596.6,     639.7,            0,             0.00
           100,      13298742,     811145,        800369,    648.9,     640.3,            0,             0.00
           100,      14020371,     720346,        795662,    576.3,     636.5,            0,             0.00
           100,      14863743,     839021,        798071,    671.2,     638.5,            0,             0.00
           100,      15647904,     783096,        797283,    626.5,     637.8,            0,             0.00
           100,      16471431,     822889,        798563,    658.3,     638.9,            0,             0.00
           100,      17305083,     829011,        800013,    663.2,     640.0,            0,             0.00
           100,      18034650,     725856,        796642,    580.7,     637.3,            0,             0.00
           100,      18908316,     873546,        799986,    698.8,     640.0,            0,             0.00
           100,      19685835,     768291,        798665,    614.6,     638.9,            0,             0.00
           100,      20521756,     832095,        800002,    665.7,     640.0,            0,             0.00
           100,      21320901,     797643,        799912,    638.1,     639.9,            0,             0.00
           100,      22103442,     779056,        799139,    623.2,     639.3,            0,             0.00
           100,      22953699,     844808,        800770,    675.8,     640.6,            0,             0.00
           100,      23644305,     689138,        796921,    551.3,     637.5,            0,             0.00
           100,      24483870,     833254,        798132,    666.6,     638.5,            0,             0.00
           100,      25082865,     595880,        791608,    476.7,     633.3,            0,             0.00
           100,      25836084,     750781,        790332,    600.6,     632.3,            0,             0.00
           100,      26588736,     752385,        789182,    601.9,     631.3,            0,             0.00
           100,      27406917,     816785,        789994,    653.4,     632.0,            0,             0.00
           100,      28165077,     756876,        789048,    605.5,     631.2,            0,             0.00
           100,      29016306,     850938,        790767,    680.8,     632.6,            0,             0.00
           100,      29802573,     778931,        790447,    623.1,     632.4,            0,             0.00
           100,      30564702,     757417,        789578,    605.9,     631.7,            0,             0.00
           100,      31343598,     773732,        789171,    619.0,     631.3,            0,             0.00
           100,      32094144,     748678,        788159,    598.9,     630.5,            0,             0.00
           100,      32920668,     821601,        788975,    657.3,     631.2,            0,             0.00
           100,      33651045,     729748,        787564,    583.8,     630.1,            0,             0.00
           100,      34561161,     907550,        790355,    726.0,     632.3,            0,             0.00
           100,      35350830,     788168,        790305,    630.5,     632.2,            0,             0.00
           100,      36172575,     818439,        790930,    654.8,     632.7,            0,             0.00
           100,      36953820,     780945,        790713,    624.8,     632.6,            0,             0.00
           100,      37629765,     669585,        788136,    535.7,     630.5,            0,             0.00
           100,      38468439,     830454,        789018,    664.4,     631.2,            0,             0.00
           100,      39178242,     708978,        787384,    567.2,     629.9,            0,             0.00
           100,      39974148,     795533,        787547,    636.4,     630.0,            0,             0.00
