RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Intervals One-way Latency for 100 Bytes:
Length (Bytes), Latency (us), Ave (us), Std (us), Min (us), Max (us)
           100,         9350,     5832,   3518.0,     2314,     9350
           100,        10340,     7335,   3573.1,     2314,    10340
           100,          642,     5662,   4239.5,      642,    10340
           100,         7366,     6002,   3852.8,      642,    10340
           100,         3094,     5518,   3680.3,      642,    10340
           100,          746,     4836,   3794.4,      642,    10340
           100,         2226,     4510,   3652.8,      642,    10340
           100,         3194,     4364,   3468.6,      642,    10340
           100,          570,     3984,   3481.9,      570,    10340
           100,        19421,     5388,   5542.1,      570,    19421
           100,         1536,     5067,   5411.9,      570,    19421
           100,          339,     4703,   5350.0,      339,    19421
           100,        13372,     5322,   5618.1,      339,    19421
           100,         3830,     5223,   5440.3,      339,    19421
           100,          273,     4913,   5402.1,      273,    19421
           100,         1412,     4707,   5305.2,      273,    19421
           100,         1368,     4522,   5212.1,      273,    19421
           100,          571,     4314,   5149.3,      273,    19421
           100,        13760,     4786,   5424.7,      273,    19421
           100,         4049,     4751,   5296.3,      273,    19421
           100,         1181,     4589,   5227.7,      273,    19421
           100,         2374,     4493,   5132.7,      273,    19421
           100,         6359,     4570,   5038.5,      273,    19421
           100,         1682,     4455,   4969.0,      273,    19421
           100,         3345,     4412,   4877.2,      273,    19421
           100,        10667,     4644,   4929.6,      273,    19421
           100,          607,     4500,   4898.4,      273,    19421
           100,          432,     4359,   4870.1,      273,    19421
           100,         1414,     4261,   4817.4,      273,    19421
           100,          485,     4139,   4785.8,      273,    19421
           100,         2570,     4090,   4718.3,      273,    19421
           100,         1221,     4003,   4672.2,      273,    19421
           100,         2015,     3945,   4615.2,      273,    19421
           100,        59614,     5535,  10329.9,      273,    59614
           100,         1264,     5417,  10209.6,      273,    59614
           100,          515,     5284,  10102.0,      273,    59614
           100,         7579,     5345,   9974.9,      273,    59614
           100,         1206,     5239,   9867.9,      273,    59614
           100,          342,     5116,   9773.7,      273,    59614
           100,         7460,     5173,   9660.6,      273,    59614
           100,         8756,     5259,   9560.5,      273,    59614
           100,          792,     5155,   9472.6,      273,    59614
           100,         2080,     5085,   9375.6,      273,    59614
           100,        16303,     5334,   9417.1,      273,    59614
           100,          336,     5225,   9342.7,      273,    59614
