RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.,,,,,,,
Expires on 01-nov-2022 See www.rti.com for more information.,,,,,,,
,,,,,,,
Interval Throughput for 100 Bytes:,,,,,,,
Length (Bytes), Total Samples,  Samples/s, Ave Samples/s,     Mbps,  Ave Mbps, Lost Samples, Lost Samples (%)
100,247021,103172,103172,82.5,82.5,0,0
100,351530,104466,103819,83.6,83.1,0,0
100,448141,96594,101411,77.3,81.1,0,0
100,549375,101219,101363,81,81.1,0,0
100,651080,101687,101428,81.4,81.1,0,0
100,753430,102337,101579,81.9,81.3,0,0
100,855797,102357,101690,81.9,81.4,0,0
100,957780,101957,101724,81.6,81.4,0,0
100,1060759,102969,101862,82.4,81.5,0,0
100,1162079,101286,101804,81,81.4,0,0
100,1262532,100442,101681,80.4,81.3,0,0
100,1364634,102049,101711,81.6,81.4,0,0
100,1469230,104577,101932,83.7,81.5,0,0
100,1573470,104225,102096,83.4,81.7,0,0
100,1674209,100717,102004,80.6,81.6,0,0
100,1772900,98661,101795,78.9,81.4,0,0
100,1874454,101540,101780,81.2,81.4,0,0
100,1978610,104119,101910,83.3,81.5,0,0
100,2083340,104697,102056,83.8,81.6,0,0
100,2188260,104893,102198,83.9,81.8,0,0
100,2293296,105026,102333,84,81.9,0,0
100,2394660,101332,102287,81.1,81.8,0,0
100,2489950,95280,101983,76.2,81.6,0,0
100,2591780,101811,101976,81.4,81.6,0,0
100,2692799,100980,101936,80.8,81.5,0,0
100,2791400,98591,101807,78.9,81.4,0,0
100,2894844,103403,101866,82.7,81.5,0,0
100,2998066,103184,101913,82.5,81.5,0,0
100,3102829,104747,102011,83.8,81.6,0,0
100,3206571,103721,102068,83,81.7,0,0
100,3308484,101881,102062,81.5,81.6,0,0
100,3411804,103288,102100,82.6,81.7,0,0
100,3514160,102334,102107,81.9,81.7,0,0
100,3615840,101640,102094,81.3,81.7,0,0
100,3717742,101868,102087,81.5,81.7,0,0
100,3820210,102428,102097,81.9,81.7,0,0
100,3924804,104550,102163,83.6,81.7,0,0
100,4028499,103679,102203,82.9,81.8,0,0
100,4133048,104499,102262,83.6,81.8,0,0
100,4237310,104232,102311,83.4,81.8,0,0
100,4339168,101845,102300,81.5,81.8,0,0
100,4442995,103812,102336,83,81.9,0,0
100,4543300,100261,102287,80.2,81.8,0,0
100,4643830,100502,102247,80.4,81.8,0,0
100,4744319,100466,102207,80.4,81.8,0,0
100,4848120,103757,102241,83,81.8,0,0
100,4949740,101605,102227,81.3,81.8,0,0
100,5053969,104212,102269,83.4,81.8,0,0
100,5156470,102483,102273,82,81.8,0,0
100,5260070,103552,102299,82.8,81.8,0,0
100,5364710,104629,102344,83.7,81.9,0,0
100,5469382,104627,102388,83.7,81.9,0,0
100,5572700,103302,102405,82.6,81.9,0,0
100,5675486,102754,102412,82.2,81.9,0,0
100,5777525,102029,102405,81.6,81.9,0,0
100,5881760,104216,102437,83.4,82,0,0
100,5984290,102520,102439,82,82,0,0
100,6086800,102499,102440,82,82,0,0
100,6191620,104787,102480,83.8,82,0,0
100,6296252,104583,102515,83.7,82,0,0
100,6396931,100669,102484,80.5,82,0,0
100,6493427,96486,102388,77.2,81.9,0,0
100,6590962,97525,102310,78,81.8,0,0
100,6690660,99686,102269,79.7,81.8,0,0
100,6794459,103777,102293,83,81.8,0,0
100,6898228,103748,102315,83,81.9,0,0
100,7000510,102270,102314,81.8,81.9,0,0
100,7104688,104159,102341,83.3,81.9,0,0
100,7207621,102916,102349,82.3,81.9,0,0
100,7306970,99339,102306,79.5,81.8,0,0
100,7406553,99565,102268,79.7,81.8,0,0
100,7506138,99576,102230,79.7,81.8,0,0
100,7607294,101130,102215,80.9,81.8,0,0
100,7710719,103384,102231,82.7,81.8,0,0
100,7809640,98897,102187,79.1,81.7,0,0
100,7911622,101968,102184,81.6,81.7,0,0
100,8015080,103447,102200,82.8,81.8,0,0
100,8117189,102074,102199,81.7,81.8,0,0
100,8218325,101104,102185,80.9,81.7,0,0
100,8319413,101078,102171,80.9,81.7,0,0
100,8420524,101099,102158,80.9,81.7,0,0
100,8523354,102803,102166,82.2,81.7,0,0
100,8623237,99837,102138,79.9,81.7,0,0
100,8722992,99736,102109,79.8,81.7,0,0
100,8825450,102411,102113,81.9,81.7,0,0
100,8925320,99861,102086,79.9,81.7,0,0
100,9029558,104204,102111,83.4,81.7,0,0
100,9132446,102854,102119,82.3,81.7,0,0
100,9235700,103245,102132,82.6,81.7,0,0
100,9335565,99851,102106,79.9,81.7,0,0
100,9436383,100808,102092,80.6,81.7,0,0
100,9538220,101817,102089,81.5,81.7,0,0
100,9642093,103857,102108,83.1,81.7,0,0
100,9744790,102682,102114,82.1,81.7,0,0
100,9847170,102361,102117,81.9,81.7,0,0
100,9947780,100601,102101,80.5,81.7,0,0
100,10050540,102693,102107,82.2,81.7,0,0
100,10152760,102205,102108,81.8,81.7,0,0
100,10252221,99436,102081,79.5,81.7,0,0
100,10353990,101759,102078,81.4,81.7,0,0
100,10456873,102872,102086,82.3,81.7,0,0
100,10559710,102819,102093,82.3,81.7,0,0
100,10661710,101990,102092,81.6,81.7,0,0
100,10763000,101275,102084,81,81.7,0,0
100,10855500,92479,101993,74,81.6,0,0
100,10958660,103148,102004,82.5,81.6,0,0
100,11061060,102381,102007,81.9,81.6,0,0
100,11165172,104063,102026,83.3,81.6,0,0
100,11269756,104538,102049,83.6,81.6,0,0
100,11374530,104759,102074,83.8,81.7,0,0
100,11470390,95847,102018,76.7,81.6,0,0
100,11574510,104106,102036,83.3,81.6,0,0
100,11673700,99165,102011,79.3,81.6,0,0
100,11775019,101289,102005,81,81.6,0,0
100,11870909,95881,101951,76.7,81.6,0,0
100,11973419,102479,101956,82,81.6,0,0
100,12076260,102799,101963,82.2,81.6,0,0
100,12178704,102409,101967,81.9,81.6,0,0
100,12281088,102369,101970,81.9,81.6,0,0
100,12384940,103830,101986,83.1,81.6,0,0
100,12483890,98939,101961,79.2,81.6,0,0
100,12585800,101865,101960,81.5,81.6,0,0
100,12684434,98614,101933,78.9,81.5,0,0
100,12785882,101431,101929,81.1,81.5,0,0
100,12888870,102966,101937,82.4,81.5,0,0
100,12988260,99380,101917,79.5,81.5,0,0
100,13086720,98437,101889,78.8,81.5,0,0
100,13183750,97013,101851,77.6,81.5,0,0
100,13286288,102519,101856,82,81.5,0,0
100,13386763,100461,101846,80.4,81.5,0,0
100,13487279,100488,101835,80.4,81.5,0,0
100,13583830,96509,101795,77.2,81.4,0,0
100,13685636,101783,101795,81.4,81.4,0,0
100,13784990,99342,101776,79.5,81.4,0,0
100,13882738,97730,101746,78.2,81.4,0,0
100,13963060,80312,101589,64.3,81.3,0,0
100,14063581,100510,101581,80.4,81.3,0,0
100,14158214,94620,101531,75.7,81.2,0,0
100,14261887,103659,101546,82.9,81.2,0,0
100,14366549,104615,101568,83.7,81.3,0,0
100,14471110,104542,101589,83.6,81.3,0,0
100,14572950,101826,101591,81.5,81.3,0,0
100,14676490,103521,101604,82.8,81.3,0,0
100,14778295,101769,101605,81.4,81.3,0,0
100,14878170,99854,101593,79.9,81.3,0,0
100,14955639,77457,101428,62,81.1,0,0
100,15046290,90611,101354,72.5,81.1,0,0
100,15129749,83417,101233,66.7,81,0,0
100,15232880,103124,101246,82.5,81,0,0
100,15336750,103860,101263,83.1,81,0,0
100,15439273,102508,101271,82,81,0,0
100,15542876,103592,101287,82.9,81,0,0
100,15644470,101582,101289,81.3,81,0,0
100,15745970,101473,101290,81.2,81,0,0
100,15845129,99145,101276,79.3,81,0,0
100,15943290,98140,101256,78.5,81,0,0
100,16045614,102303,101262,81.8,81,0,0
100,16143282,97657,101240,78.1,81,0,0
100,16242080,98777,101224,79,81,0,0
100,16341786,99680,101215,79.7,81,0,0
100,16442550,100747,101212,80.6,81,0,0
100,16544288,101703,101215,81.4,81,0,0
100,16646038,101738,101218,81.4,81,0,0
100,16749800,103747,101233,83,81,0,0
100,16853890,104080,101251,83.3,81,0,0
100,16958650,104730,101272,83.8,81,0,0
100,17060698,102027,101276,81.6,81,0,0
100,17164650,103933,101292,83.1,81,0,0
100,17268871,104210,101309,83.4,81,0,0
100,17371848,102955,101319,82.4,81.1,0,0
100,17472740,100877,101316,80.7,81.1,0,0
100,17576709,103937,101331,83.1,81.1,0,0
100,17677670,100916,101329,80.7,81.1,0,0
100,17775400,97718,101308,78.2,81,0,0
100,17878544,103134,101319,82.5,81.1,0,0
100,17980499,101937,101322,81.5,81.1,0,0
100,18082175,101619,101324,81.3,81.1,0,0
100,18187010,104818,101344,83.9,81.1,0,0
100,18288447,101426,101344,81.1,81.1,0,0
100,18392427,103959,101359,83.2,81.1,0,0
100,18495930,103487,101370,82.8,81.1,0,0
100,18600607,104644,101388,83.7,81.1,0,0
100,18690700,90073,101326,72.1,81.1,0,0
100,18788634,97898,101308,78.3,81,0,0
100,18892758,104071,101323,83.3,81.1,0,0
100,18994017,101220,101322,81,81.1,0,0
100,19097390,103360,101333,82.7,81.1,0,0
100,19198644,101242,101333,81,81.1,0,0
100,19300990,102299,101338,81.8,81.1,0,0
100,19402870,101862,101340,81.5,81.1,0,0
100,19503707,100825,101338,80.7,81.1,0,0
100,19606650,102922,101346,82.3,81.1,0,0
100,19710730,104035,101360,83.2,81.1,0,0
100,19814952,104209,101375,83.4,81.1,0,0
100,19920215,105244,101395,84.2,81.1,0,0
100,20019202,98966,101382,79.2,81.1,0,0
100,20121819,102591,101388,82.1,81.1,0,0
100,20222882,101049,101387,80.8,81.1,0,0
100,20325816,102894,101394,82.3,81.1,0,0
100,20429744,103911,101407,83.1,81.1,0,0
100,20534043,104280,101421,83.4,81.1,0,0
100,20637090,103021,101429,82.4,81.1,0,0
100,20733820,96720,101406,77.4,81.1,0,0
100,20838080,104245,101420,83.4,81.1,0,0
100,20940149,102047,101423,81.6,81.1,0,0
100,21040650,100488,101418,80.4,81.1,0,0
100,21144881,104190,101432,83.4,81.1,0,0
100,21249100,104171,101445,83.3,81.2,0,0
100,21350030,100903,101442,80.7,81.2,0,0
100,21453133,103063,101450,82.5,81.2,0,0
100,21555220,102077,101453,81.7,81.2,0,0
100,21646890,91660,101407,73.3,81.1,0,0
100,21752323,105422,101425,84.3,81.1,0,0
100,21854711,102360,101430,81.9,81.1,0,0
100,21958317,103588,101440,82.9,81.2,0,0
100,22058240,99909,101433,79.9,81.1,0,0
100,22161015,102759,101439,82.2,81.2,0,0
100,22264114,103076,101446,82.5,81.2,0,0
100,22367310,103180,101454,82.5,81.2,0,0
100,22472482,105146,101471,84.1,81.2,0,0
100,22577810,105317,101489,84.3,81.2,0,0
100,22682020,104175,101501,83.3,81.2,0,0
100,22785312,103240,101508,82.6,81.2,0,0
100,22889611,104253,101521,83.4,81.2,0,0
100,22993624,103979,101532,83.2,81.2,0,0
100,23096075,102397,101535,81.9,81.2,0,0
100,23195922,99832,101528,79.9,81.2,0,0
100,23299340,103403,101536,82.7,81.2,0,0
100,23402950,103600,101545,82.9,81.2,0,0
100,23505464,102504,101549,82,81.2,0,0
100,23606193,100712,101546,80.6,81.2,0,0
100,23709851,103648,101555,82.9,81.2,0,0
100,23812973,103106,101561,82.5,81.2,0,0
100,23913126,100113,101555,80.1,81.2,0,0
100,24014550,101384,101554,81.1,81.2,0,0
100,24118580,104020,101565,83.2,81.3,0,0
100,24222456,103866,101575,83.1,81.3,0,0
100,24326291,103800,101584,83,81.3,0,0
100,24428929,102604,101588,82.1,81.3,0,0
100,24522657,93699,101555,75,81.2,0,0
100,24625130,102462,101559,82,81.2,0,0
100,24730253,105113,101574,84.1,81.3,0,0
100,24825130,94835,101546,75.9,81.2,0,0
100,24925769,100608,101542,80.5,81.2,0,0
100,25027170,101392,101542,81.1,81.2,0,0
100,25130800,103600,101550,82.9,81.2,0,0
100,25234338,103528,101558,82.8,81.2,0,0
100,25337589,103241,101565,82.6,81.3,0,0
100,25440048,102437,101568,82,81.3,0,0
100,25544329,104235,101579,83.4,81.3,0,0
100,25646119,101776,101580,81.4,81.3,0,0
100,25748870,102731,101584,82.2,81.3,0,0
100,25842040,93128,101551,74.5,81.2,0,0
100,25946256,104198,101561,83.4,81.2,0,0
100,26050352,104059,101571,83.2,81.3,0,0
100,26153075,102711,101576,82.2,81.3,0,0
100,26255780,102686,101580,82.1,81.3,0,0
100,26359417,103619,101588,82.9,81.3,0,0
100,26464287,104855,101600,83.9,81.3,0,0
100,26567989,103684,101608,82.9,81.3,0,0
100,26672781,104765,101621,83.8,81.3,0,0
100,26776570,103779,101629,83,81.3,0,0
100,26880891,104297,101639,83.4,81.3,0,0
100,26986100,105194,101652,84.2,81.3,0,0
100,27088949,102836,101657,82.3,81.3,0,0
100,27189920,100961,101654,80.8,81.3,0,0
100,27289560,99618,101647,79.7,81.3,0,0
100,27388188,98618,101635,78.9,81.3,0,0
100,27485680,97463,101620,78,81.3,0,0
100,27588370,102677,101624,82.1,81.3,0,0
100,27690320,101940,101625,81.6,81.3,0,0
100,27793303,102940,101630,82.4,81.3,0,0
100,27893727,100394,101625,80.3,81.3,0,0
100,27994660,100909,101623,80.7,81.3,0,0
100,28095522,100805,101620,80.6,81.3,0,0
100,28197980,102443,101623,82,81.3,0,0
100,28300328,102317,101625,81.9,81.3,0,0
100,28399763,99412,101617,79.5,81.3,0,0
100,28499350,99575,101610,79.7,81.3,0,0
100,28601310,101936,101611,81.5,81.3,0,0
100,28703596,102239,101613,81.8,81.3,0,0
100,28807700,104072,101622,83.3,81.3,0,0
100,28911260,103537,101629,82.8,81.3,0,0
100,29014315,103045,101634,82.4,81.3,0,0
100,29117120,102787,101638,82.2,81.3,0,0
100,29220220,103069,101643,82.5,81.3,0,0
100,29323720,103490,101649,82.8,81.3,0,0
100,29423673,99936,101643,79.9,81.3,0,0
100,29523484,99800,101637,79.8,81.3,0,0
100,29625159,101659,101637,81.3,81.3,0,0
100,29727870,102701,101641,82.2,81.3,0,0
100,29830457,102539,101644,82,81.3,0,0
100,29931634,101159,101642,80.9,81.3,0,0
100,30034664,102991,101647,82.4,81.3,0,0
100,30137330,102656,101650,82.1,81.3,0,0
100,30236612,99260,101642,79.4,81.3,0,0
100,30336606,99941,101636,80,81.3,0,0
100,30439664,103040,101641,82.4,81.3,0,0
100,30543309,103592,101647,82.9,81.3,0,0
100,30645215,101885,101648,81.5,81.3,0,0
100,30742878,97645,101635,78.1,81.3,0,0
100,30846435,103543,101641,82.8,81.3,0,0
100,30944980,98532,101631,78.8,81.3,0,0
100,31046750,101758,101631,81.4,81.3,0,0
100,31149496,102716,101635,82.2,81.3,0,0
100,31253256,103735,101642,83,81.3,0,0
100,31355878,102612,101645,82.1,81.3,0,0
100,31460287,104376,101654,83.5,81.3,0,0
100,31565020,104714,101664,83.8,81.3,0,0
100,31668538,103497,101670,82.8,81.3,0,0
100,31772053,103487,101676,82.8,81.3,0,0
100,31876260,104165,101683,83.3,81.3,0,0
100,31981340,105070,101694,84.1,81.4,0,0
100,32086190,104838,101704,83.9,81.4,0,0
100,32190020,103818,101711,83.1,81.4,0,0
100,32293340,103303,101716,82.6,81.4,0,0
100,32396601,103250,101721,82.6,81.4,0,0
100,32501020,104390,101729,83.5,81.4,0,0
100,32606010,104947,101739,84,81.4,0,0
100,32710300,104262,101747,83.4,81.4,0,0
100,32815720,105402,101759,84.3,81.4,0,0
100,32920390,104652,101768,83.7,81.4,0,0
100,33021424,101020,101765,80.8,81.4,0,0
100,33123540,102084,101766,81.7,81.4,0,0
100,33224800,101242,101765,81,81.4,0,0
100,33328150,103337,101770,82.7,81.4,0,0
100,33427260,99075,101761,79.3,81.4,0,0
100,33532110,104813,101771,83.9,81.4,0,0
100,33632088,99957,101765,80,81.4,0,0
100,33734871,102769,101768,82.2,81.4,0,0
100,33839192,104286,101776,83.4,81.4,0,0
100,33943230,104013,101782,83.2,81.4,0,0
100,34045940,102688,101785,82.2,81.4,0,0
100,34150130,104149,101792,83.3,81.4,0,0
100,34253987,103817,101798,83.1,81.4,0,0
100,34358430,104427,101806,83.5,81.4,0,0
100,34460510,102069,101807,81.7,81.4,0,0
100,34560459,99929,101801,79.9,81.4,0,0
100,34665340,104833,101810,83.9,81.4,0,0
100,34768150,102793,101813,82.2,81.5,0,0
100,34868404,100244,101809,80.2,81.4,0,0
100,34971180,102753,101811,82.2,81.4,0,0
100,35073537,102336,101813,81.9,81.5,0,0
100,35178560,105009,101822,84,81.5,0,0
100,35281902,103331,101827,82.7,81.5,0,0
100,35383770,101859,101827,81.5,81.5,0,0
100,35485130,101330,101825,81.1,81.5,0,0
100,35590474,105321,101835,84.3,81.5,0,0
100,35695964,105454,101846,84.4,81.5,0,0
100,35800324,104346,101853,83.5,81.5,0,0
100,35904231,103884,101859,83.1,81.5,0,0
100,36006238,101947,101859,81.6,81.5,0,0
100,36107140,100883,101856,80.7,81.5,0,0
100,36212220,105061,101865,84,81.5,0,0
100,36316605,104368,101872,83.5,81.5,0,0
100,36420447,103801,101878,83,81.5,0,0
100,36521277,100800,101875,80.6,81.5,0,0
100,36624668,103379,101879,82.7,81.5,0,0
100,36727383,102669,101881,82.1,81.5,0,0
100,36830260,102867,101884,82.3,81.5,0,0
100,36933250,102980,101887,82.4,81.5,0,0
100,37034490,101185,101885,80.9,81.5,0,0
100,37131470,96970,101871,77.6,81.5,0,0
100,37234891,103384,101875,82.7,81.5,0,0
100,37338078,103160,101879,82.5,81.5,0,0
100,37441940,103852,101884,83.1,81.5,0,0
100,37543014,101059,101882,80.8,81.5,0,0
100,37648387,105353,101891,84.3,81.5,0,0
100,37751800,103400,101896,82.7,81.5,0,0
100,37855020,103200,101899,82.6,81.5,0,0
100,37957726,102692,101901,82.2,81.5,0,0
100,38063050,105301,101910,84.2,81.5,0,0
100,38167742,104677,101918,83.7,81.5,0,0
100,38270660,102901,101920,82.3,81.5,0,0
100,38375051,104354,101927,83.5,81.5,0,0
100,38478566,103483,101931,82.8,81.5,0,0
100,38583598,105018,101939,84,81.6,0,0
100,38688308,104698,101947,83.8,81.6,0,0
100,38792572,104242,101953,83.4,81.6,0,0
100,38893780,101184,101951,80.9,81.6,0,0
100,38993930,100119,101946,80.1,81.6,0,0
100,39098430,104489,101952,83.6,81.6,0,0
100,39198293,99834,101947,79.9,81.6,0,0
100,39300581,102236,101948,81.8,81.6,0,0
100,39397720,97107,101935,77.7,81.5,0,0
100,39498890,101158,101933,80.9,81.5,0,0
100,39597570,98648,101925,78.9,81.5,0,0
100,39699465,101870,101924,81.5,81.5,0,0
100,39803514,103996,101930,83.2,81.5,0,0
100,39901024,97492,101918,78,81.5,0,0
100,40002940,101896,101918,81.5,81.5,0,0
100,40107957,104979,101926,84,81.5,0,0
100,40211557,103586,101930,82.9,81.5,0,0
100,40314310,102743,101932,82.2,81.5,0,0
100,40416950,102624,101934,82.1,81.5,0,0
100,40521140,104161,101940,83.3,81.6,0,0
100,40621562,100383,101936,80.3,81.5,0,0
100,40720684,99112,101929,79.3,81.5,0,0
100,40823823,103125,101932,82.5,81.5,0,0
100,40909090,85234,101890,68.2,81.5,0,0
100,41013254,104125,101896,83.3,81.5,0,0
100,41118166,104870,101903,83.9,81.5,0,0
100,41223290,105109,101911,84.1,81.5,0,0
100,41325840,102529,101912,82,81.5,0,0
100,41428667,102815,101915,82.3,81.5,0,0
100,41528534,99851,101910,79.9,81.5,0,0
100,41632987,104437,101916,83.6,81.5,0,0
100,41735121,102114,101916,81.7,81.5,0,0
100,41837589,102434,101918,81.9,81.5,0,0
100,41934668,97057,101906,77.6,81.5,0,0
100,42037800,103065,101909,82.5,81.5,0,0
100,42140588,102772,101911,82.2,81.5,0,0
100,42229047,88450,101878,70.8,81.5,0,0
100,42317380,88315,101845,70.7,81.5,0,0
100,42376657,59260,101743,47.4,81.4,0,0
100,42470743,94056,101724,75.2,81.4,0,0
100,42570178,99422,101719,79.5,81.4,0,0
100,42674490,104302,101725,83.4,81.4,0,0
100,42776910,102376,101726,81.9,81.4,0,0
100,42878519,101588,101726,81.3,81.4,0,0
100,42980170,101630,101726,81.3,81.4,0,0
100,43083611,103419,101730,82.7,81.4,0,0
100,43175700,92080,101707,73.7,81.4,0,0
100,43279652,103927,101712,83.1,81.4,0,0
100,43383070,103406,101716,82.7,81.4,0,0
100,43487850,104738,101723,83.8,81.4,0,0
100,43591596,103732,101728,83,81.4,0,0
100,43695470,103852,101733,83.1,81.4,0,0
100,43801450,105937,101743,84.7,81.4,0,0
100,43902980,101451,101742,81.2,81.4,0,0
100,44002702,99698,101737,79.8,81.4,0,0
100,44104726,102005,101738,81.6,81.4,0,0
100,44206797,102035,101739,81.6,81.4,0,0
100,44309344,102511,101741,82,81.4,0,0
100,44415168,105803,101750,84.6,81.4,0,0
100,44513708,98523,101742,78.8,81.4,0,0
100,44612353,98608,101735,78.9,81.4,0,0
100,44714990,102622,101737,82.1,81.4,0,0
100,44818195,103193,101741,82.6,81.4,0,0
100,44922245,104039,101746,83.2,81.4,0,0
100,45022491,100204,101742,80.2,81.4,0,0
100,45127672,105158,101750,84.1,81.4,0,0
100,45232140,104443,101756,83.6,81.4,0,0
100,45335621,103469,101760,82.8,81.4,0,0
100,45438080,102437,101762,81.9,81.4,0,0
100,45541110,103015,101764,82.4,81.4,0,0
100,45641818,100683,101762,80.5,81.4,0,0
100,45745600,103771,101766,83,81.4,0,0
100,45849237,103597,101770,82.9,81.4,0,0
100,45953583,104325,101776,83.5,81.4,0,0
