RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Intervals One-way Latency for 100 Bytes:
Length (Bytes), Latency (us), Ave (us), Std (us), Min (us), Max (us)
           100,         1663,     1108,    555.5,      552,     1663
           100,          692,      969,    494.0,      552,     1663
           100,          200,      777,    542.2,      200,     1663
           100,          370,      695,    511.5,      200,     1663
           100,          459,      656,    475.2,      200,     1663
           100,          700,      662,    440.2,      200,     1663
           100,         1420,      757,    482.0,      200,     1663
           100,          526,      731,    460.2,      200,     1663
           100,          305,      689,    454.9,      200,     1663
           100,         1446,      758,    485.3,      200,     1663
           100,          479,      734,    471.0,      200,     1663
           100,          425,      711,    460.0,      200,     1663
           100,          875,      722,    445.3,      200,     1663
           100,          879,      733,    431.9,      200,     1663
           100,          369,      710,    427.4,      200,     1663
           100,         5280,      979,   1152.5,      200,     5280
           100,          616,      959,   1123.1,      200,     5280
           100,          146,      916,   1108.1,      146,     5280
           100,          560,      898,   1082.8,      146,     5280
           100,          286,      869,   1064.7,      146,     5280
           100,          245,      841,   1048.3,      146,     5280
           100,          194,      812,   1033.7,      146,     5280
           100,          178,      786,   1019.9,      146,     5280
           100,          129,      760,   1007.5,      129,     5280
           100,          724,      758,    988.0,      129,     5280
           100,          765,      759,    969.5,      129,     5280
           100,          372,      745,    954.7,      129,     5280
           100,          323,      730,    941.3,      129,     5280
           100,          650,      728,    925.6,      129,     5280
           100,         5535,      883,   1245.2,      129,     5535
           100,          280,      864,   1230.1,      129,     5535
           100,          330,      848,   1214.7,      129,     5535
           100,          127,      826,   1202.9,      127,     5535
           100,          685,      822,   1185.9,      127,     5535
           100,          534,      814,   1170.2,      127,     5535
           100,          328,      801,   1157.0,      127,     5535
           100,          491,      793,   1142.8,      127,     5535
           100,          637,      789,   1128.3,      127,     5535
           100,          101,      772,   1119.3,      101,     5535
           100,          379,      762,   1107.2,      101,     5535
           100,          495,      756,   1094.7,      101,     5535
           100,          368,      747,   1083.5,      101,     5535
           100,          502,      741,   1071.7,      101,     5535
           100,         2316,      776,   1084.8,      101,     5535
           100,          383,      768,   1074.5,      101,     5535
           100,         2147,      797,   1081.5,      101,     5535
           100,          440,      790,   1071.4,      101,     5535
           100,          309,      780,   1062.6,      101,     5535
           100,         1939,      803,   1064.3,      101,     5535
           100,          488,      797,   1054.8,      101,     5535
           100,          190,      785,   1047.9,      101,     5535
           100,          291,      776,   1040.1,      101,     5535
           100,          665,      774,   1030.6,      101,     5535
           100,          152,      763,   1024.5,      101,     5535
           100,          319,      755,   1017.0,      101,     5535
           100,         5270,      834,   1169.5,      101,     5535
           100,          282,      824,   1161.6,      101,     5535
           100,         9574,      973,   1613.0,      101,     9574
           100,          616,      967,   1600.2,      101,     9574
           100,          233,      955,   1589.8,      101,     9574
           100,          525,      948,   1577.8,      101,     9574
           100,         1030,      949,   1565.3,      101,     9574
           100,          114,      936,   1556.4,      101,     9574
           100,         9090,     1061,   1841.9,      101,     9574
           100,          454,     1052,   1829.4,      101,     9574
           100,          324,     1041,   1817.8,      101,     9574
           100,         3067,     1071,   1820.8,      101,     9574
           100,          429,     1062,   1809.2,      101,     9574
           100,          248,     1050,   1798.8,      101,     9574
           100,          299,     1040,   1788.3,      101,     9574
           100,          940,     1038,   1775.8,      101,     9574
           100,          319,     1028,   1765.6,      101,     9574
           100,          722,     1024,   1754.0,      101,     9574
           100,          631,     1019,   1742.9,      101,     9574
           100,          155,     1008,   1734.2,      101,     9574
           100,         7669,     1094,   1880.7,      101,     9574
           100,          353,     1085,   1870.5,      101,     9574
           100,          205,     1074,   1861.2,      101,     9574
           100,          291,     1064,   1851.6,      101,     9574
           100,         4419,     1105,   1877.0,      101,     9574
           100,          248,     1095,   1867.9,      101,     9574
           100,          543,     1088,   1857.6,      101,     9574
           100,          703,     1083,   1847.0,      101,     9574
           100,          187,     1073,   1838.6,      101,     9574
           100,         5552,     1125,   1889.9,      101,     9574
           100,         1174,     1126,   1879.0,      101,     9574
           100,          182,     1115,   1871.0,      101,     9574
           100,          762,     1111,   1860.8,      101,     9574
           100,         1222,     1112,   1850.5,      101,     9574
           100,          199,     1102,   1842.8,      101,     9574
           100,          251,     1093,   1834.9,      101,     9574
           100,         6046,     1146,   1895.1,      101,     9574
           100,          246,     1137,   1887.3,      101,     9574
           100,          127,     1126,   1880.1,      101,     9574
           100,         1997,     1135,   1872.4,      101,     9574
           100,          156,     1125,   1865.4,      101,     9574
           100,          498,     1118,   1856.9,      101,     9574
           100,         1036,     1118,   1847.5,      101,     9574
           100,          289,     1109,   1840.1,      101,     9574
           100,          398,     1102,   1832.3,      101,     9574
           100,         1073,     1102,   1823.3,      101,     9574
           100,          148,     1093,   1816.8,      101,     9574
           100,          405,     1086,   1809.3,      101,     9574
           100,          624,     1082,   1801.3,      101,     9574
           100,          224,     1074,   1794.7,      101,     9574
           100,          707,     1070,   1786.6,      101,     9574
           100,         5542,     1112,   1829.2,      101,     9574
           100,          451,     1106,   1821.8,      101,     9574
           100,          661,     1102,   1814.0,      101,     9574
           100,          242,     1094,   1807.7,      101,     9574
           100,          314,     1087,   1801.1,      101,     9574
           100,         4292,     1115,   1818.0,      101,     9574
           100,          360,     1109,   1811.4,      101,     9574
           100,          168,     1100,   1805.6,      101,     9574
           100,         5336,     1137,   1840.0,      101,     9574
           100,          247,     1129,   1833.9,      101,     9574
           100,          181,     1121,   1828.2,      101,     9574
           100,          635,     1117,   1821.1,      101,     9574
           100,          614,     1113,   1814.0,      101,     9574
           100,          269,     1106,   1808.1,      101,     9574
           100,         2130,     1114,   1803.1,      101,     9574
           100,          332,     1108,   1797.1,      101,     9574
           100,          204,     1101,   1791.7,      101,     9574
           100,          369,     1095,   1785.7,      101,     9574
           100,          998,     1094,   1778.6,      101,     9574
           100,          242,     1087,   1773.2,      101,     9574
           100,         6289,     1128,   1824.6,      101,     9574
           100,         3580,     1147,   1830.2,      101,     9574
           100,          143,     1139,   1825.3,      101,     9574
           100,        13000,     1230,   2090.9,      101,    13000
           100,         2527,     1240,   2086.0,      101,    13000
           100,          301,     1233,   2079.7,      101,    13000
           100,          481,     1227,   2073.0,      101,    13000
           100,         3278,     1242,   2072.8,      101,    13000
           100,          209,     1235,   2067.0,      101,    13000
           100,         3959,     1255,   2072.5,      101,    13000
           100,          373,     1248,   2066.3,      101,    13000
           100,          111,     1240,   2061.1,      101,    13000
           100,         2430,     1248,   2056.2,      101,    13000
           100,         5138,     1276,   2074.7,      101,    13000
           100,          267,     1269,   2069.1,      101,    13000
           100,          217,     1262,   2063.7,      101,    13000
           100,         2448,     1270,   2058.9,      101,    13000
           100,          268,     1263,   2053.5,      101,    13000
           100,         8132,     1310,   2123.4,      101,    13000
           100,         7674,     1353,   2179.8,      101,    13000
           100,          298,     1346,   2174.2,      101,    13000
           100,          731,     1342,   2167.5,      101,    13000
           100,         1100,     1340,   2160.3,      101,    13000
           100,          129,     1332,   2155.4,      101,    13000
           100,         3781,     1348,   2157.4,      101,    13000
           100,         8988,     1398,   2236.7,      101,    13000
           100,          140,     1390,   2231.7,      101,    13000
           100,          824,     1387,   2225.0,      101,    13000
           100,          166,     1379,   2220.0,      101,    13000
           100,          334,     1372,   2214.4,      101,    13000
           100,          304,     1365,   2209.1,      101,    13000
           100,          219,     1358,   2204.0,      101,    13000
           100,          229,     1351,   2198.9,      101,    13000
           100,          514,     1346,   2193.0,      101,    13000
           100,          228,     1339,   2188.0,      101,    13000
           100,          194,     1332,   2183.1,      101,    13000
           100,          706,     1328,   2177.0,      101,    13000
           100,          358,     1322,   2171.7,      101,    13000
           100,          202,     1315,   2166.9,      101,    13000
           100,          531,     1311,   2161.2,      101,    13000
           100,         1451,     1312,   2154.8,      101,    13000
           100,          874,     1309,   2148.7,      101,    13000
           100,         8432,     1351,   2210.5,      101,    13000
           100,         1236,     1350,   2204.0,      101,    13000
           100,          213,     1344,   2199.3,      101,    13000
           100,          411,     1338,   2194.1,      101,    13000
           100,          356,     1333,   2189.0,      101,    13000
           100,          149,     1326,   2184.6,      101,    13000
           100,          673,     1322,   2178.9,      101,    13000
           100,          279,     1316,   2174.2,      101,    13000
           100,          463,     1311,   2169.0,      101,    13000
           100,         8247,     1350,   2223.9,      101,    13000
           100,         3713,     1363,   2224.6,      101,    13000
           100,          384,     1358,   2219.6,      101,    13000
           100,          200,     1352,   2215.2,      101,    13000
           100,         5576,     1375,   2231.0,      101,    13000
           100,          545,     1370,   2225.7,      101,    13000
           100,          474,     1365,   2220.7,      101,    13000
           100,          302,     1360,   2216.1,      101,    13000
           100,          303,     1354,   2211.5,      101,    13000
           100,          286,     1348,   2207.0,      101,    13000
           100,          122,     1342,   2202.9,      101,    13000
           100,          578,     1338,   2197.8,      101,    13000
           100,          416,     1333,   2193.1,      101,    13000
           100,         6340,     1359,   2216.8,      101,    13000
           100,          415,     1354,   2212.1,      101,    13000
           100,          754,     1351,   2206.8,      101,    13000
           100,          248,     1345,   2202.6,      101,    13000
           100,          136,     1339,   2198.6,      101,    13000
           100,          732,     1336,   2193.5,      101,    13000
           100,         2000,     1339,   2188.4,      101,    13000
           100,          489,     1335,   2183.8,      101,    13000
           100,          356,     1330,   2179.4,      101,    13000
