RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Interval Throughput for 100 Bytes:
Length (Bytes), Total Samples,  Samples/s, Ave Samples/s,     Mbps,  Ave Mbps, Lost Samples, Lost Samples (%)
           100,        112370,      56545,         56545,     45.2,      45.2,            0,             0.00
           100,        143740,      31365,         43955,     25.1,      35.2,            0,             0.00
           100,        177313,      33551,         40487,     26.8,      32.4,            0,             0.00
           100,        204320,      26996,         37114,     21.6,      29.7,            0,             0.00
           100,        237430,      33108,         36313,     26.5,      29.1,            0,             0.00
           100,        272790,      35140,         36118,     28.1,      28.9,            0,             0.00
           100,        302430,      29377,         35155,     23.5,      28.1,            0,             0.00
           100,        313929,      11496,         32197,      9.2,      25.8,            0,             0.00
           100,        326138,      12204,         29976,      9.8,      24.0,            0,             0.00
           100,        339389,      13199,         28298,     10.6,      22.6,            0,             0.00
           100,        346749,       7356,         26394,      5.9,      21.1,            0,             0.00
           100,        356460,       9690,         25002,      7.8,      20.0,            0,             0.00
           100,        366050,       9589,         23817,      7.7,      19.1,            0,             0.00
           100,        383020,      16854,         23319,     13.5,      18.7,            0,             0.00
           100,        396327,      13258,         22649,     10.6,      18.1,            0,             0.00
           100,        414880,      18551,         22392,     14.8,      17.9,            0,             0.00
           100,        427928,      13046,         21843,     10.4,      17.5,            0,             0.00
           100,        452840,      24832,         22009,     19.9,      17.6,            0,             0.00
           100,        471300,      18352,         21816,     14.7,      17.5,            0,             0.00
           100,        499425,      27887,         22120,     22.3,      17.7,            0,             0.00
           100,        562873,      63408,         24086,     50.7,      19.3,            0,             0.00
           100,        622040,      59161,         25680,     47.3,      20.5,            0,             0.00
           100,        670890,      48845,         26687,     39.1,      21.4,            0,             0.00
           100,        733550,      62621,         28185,     50.1,      22.5,            0,             0.00
           100,        809840,      76166,         30104,     60.9,      24.1,            0,             0.00
           100,        893290,      83409,         32154,     66.7,      25.7,            0,             0.00
           100,        971214,      77919,         33849,     62.3,      27.1,            0,             0.00
           100,       1059088,      87762,         35775,     70.2,      28.6,            0,             0.00
           100,       1150732,      91635,         37701,     73.3,      30.2,            0,             0.00
           100,       1226310,      75543,         38962,     60.4,      31.2,            0,             0.00
           100,       1300350,      74013,         40093,     59.2,      32.1,            0,             0.00
           100,       1368886,      68519,         40981,     54.8,      32.8,            0,             0.00
           100,       1436427,      67534,         41786,     54.0,      33.4,            0,             0.00
           100,       1483080,      46640,         41929,     37.3,      33.5,            0,             0.00
           100,       1567724,      84562,         43147,     67.6,      34.5,            0,             0.00
           100,       1654398,      86642,         44355,     69.3,      35.5,            0,             0.00
           100,       1703620,      48814,         44475,     39.1,      35.6,            0,             0.00
           100,       1738570,      34775,         44220,     27.8,      35.4,            0,             0.00
           100,       1796850,      58272,         44580,     46.6,      35.7,            0,             0.00
           100,       1852880,      55475,         44853,     44.4,      35.9,            0,             0.00
           100,       1901740,      48856,         44950,     39.1,      36.0,            0,             0.00
           100,       1952006,      49775,         45065,     39.8,      36.1,            0,             0.00
           100,       1994200,      42109,         44997,     33.7,      36.0,            0,             0.00
           100,       2042087,      47865,         45062,     38.3,      36.0,            0,             0.00
           100,       2084872,      42702,         45009,     34.2,      36.0,            0,             0.00
           100,       2131170,      46289,         45037,     37.0,      36.0,            0,             0.00
           100,       2175680,      44480,         45025,     35.6,      36.0,            0,             0.00
           100,       2220755,      45041,         45026,     36.0,      36.0,            0,             0.00
           100,       2271217,      50452,         45136,     40.4,      36.1,            0,             0.00
           100,       2318180,      46782,         45169,     37.4,      36.1,            0,             0.00
           100,       2364250,      46065,         45187,     36.9,      36.1,            0,             0.00
           100,       2407449,      43156,         45148,     34.5,      36.1,            0,             0.00
           100,       2462317,      54698,         45328,     43.8,      36.3,            0,             0.00
           100,       2504949,      42462,         45275,     34.0,      36.2,            0,             0.00
           100,       2548410,      43447,         45242,     34.8,      36.2,            0,             0.00
           100,       2601320,      52901,         45378,     42.3,      36.3,            0,             0.00
           100,       2641539,      40075,         45285,     32.1,      36.2,            0,             0.00
           100,       2682110,      40567,         45204,     32.5,      36.2,            0,             0.00
           100,       2760394,      78253,         45764,     62.6,      36.6,            0,             0.00
           100,       2835710,      75310,         46257,     60.2,      37.0,            0,             0.00
           100,       2909344,      73615,         46705,     58.9,      37.4,            0,             0.00
           100,       2976920,      67563,         47042,     54.1,      37.6,            0,             0.00
           100,       3043623,      66648,         47353,     53.3,      37.9,            0,             0.00
           100,       3107820,      64155,         47615,     51.3,      38.1,            0,             0.00
           100,       3179390,      71563,         47984,     57.3,      38.4,            0,             0.00
           100,       3266516,      87091,         48576,     69.7,      38.9,            0,             0.00
           100,       3366912,     100343,         49349,     80.3,      39.5,            0,             0.00
           100,       3468694,     101723,         50119,     81.4,      40.1,            0,             0.00
           100,       3572273,     103542,         50893,     82.8,      40.7,            0,             0.00
           100,       3676310,     103967,         51652,     83.2,      41.3,            0,             0.00
           100,       3773517,      97122,         52292,     77.7,      41.8,            0,             0.00
           100,       3876781,     103238,         53000,     82.6,      42.4,            0,             0.00
           100,       3980385,     103536,         53692,     82.8,      43.0,            0,             0.00
           100,       4085254,     104803,         54382,     83.8,      43.5,            0,             0.00
           100,       4188290,     102983,         55031,     82.4,      44.0,            0,             0.00
           100,       4293270,     104921,         55687,     83.9,      44.5,            0,             0.00
           100,       4399450,     106076,         56341,     84.9,      45.1,            0,             0.00
           100,       4495930,      96446,         56856,     77.2,      45.5,            0,             0.00
           100,       4599731,     103789,         57450,     83.0,      46.0,            0,             0.00
           100,       4700710,     100954,         57993,     80.8,      46.4,            0,             0.00
           100,       4801550,     100829,         58522,     80.7,      46.8,            0,             0.00
           100,       4904270,     102670,         59061,     82.1,      47.2,            0,             0.00
           100,       5008651,     104361,         59606,     83.5,      47.7,            0,             0.00
           100,       5111550,     102847,         60121,     82.3,      48.1,            0,             0.00
           100,       5215740,     104128,         60639,     83.3,      48.5,            0,             0.00
           100,       5318990,     103184,         61134,     82.5,      48.9,            0,             0.00
           100,       5423081,     104010,         61626,     83.2,      49.3,            0,             0.00
